"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Bespoke B?","U","U","39830","4.43","8970","5.57","44130","74.7%","55.1%","7482","52.7%","12399","58.3%","19881","56.2%","23724","53.9%","2.3pp"
"Buzz Bots","U","C","118267","5.18","25476","6.69","140750","83.5%","57.1%","25224","57.9%","38866","59.8%","64090","59.0%","75391","55.3%","3.7pp"
"Crustacean Commando","U","C","151082","7.40","19270","10.71","29219","23.5%","50.4%","5208","48.4%","8099","52.7%","13307","51.0%","15882","49.8%","1.2pp"
"Does Machines","U","R","6472","2.66","2903","2.85","21003","87.4%","58.4%","3822","58.7%","5953","64.6%","9775","62.3%","11228","54.9%","7.4pp"
"Donatello, Gadget Master","U","R","7250","2.60","2573","2.96","16530","87.2%","55.3%","2801","54.8%","4611","58.6%","7412","57.2%","9160","53.7%","3.4pp"
"Donatello, Mutant Mechanic","U","M","2369","1.94","1324","2.05","10311","92.4%","56.1%","1791","57.7%","2985","59.9%","4776","59.1%","5602","53.5%","5.6pp"
"Donatello, Turtle Techie","U","C","134538","5.62","26351","7.46","128140","73.8%","56.9%","21740","56.2%","35973","59.9%","57713","58.5%","70590","55.6%","2.9pp"
"Donatello, Way with Machines","U","U","30920","3.71","7563","4.54","44057","88.0%","55.2%","7614","55.7%","12444","56.8%","20058","56.4%","24194","54.1%","2.2pp"
"Donatello's Technique","U","U","50580","5.65","6817","8.02","16914","38.8%","52.0%","2878","49.8%","4708","54.1%","7586","52.5%","9337","51.6%","0.8pp"
"Fugitive Droid","U","U","45275","5.05","7969","6.70","34704","66.8%","54.8%","6173","56.2%","9270","56.1%","15443","56.2%","18982","53.6%","2.6pp"
"Kitsune, Dragon's Daughter","U","R","6173","2.53","3186","2.62","22580","87.8%","57.8%","3748","57.5%","6688","64.1%","10436","61.8%","12232","54.5%","7.2pp"
"Kitsune's Technique","U","R","16360","5.38","2041","8.15","775","5.8%","38.8%","135","","207","","342","","432","",""
"Krang, Master Mind","U","R","6091","2.44","2662","2.62","19316","89.0%","57.2%","3126","54.0%","5680","62.0%","8806","59.2%","10229","55.3%","3.9pp"
"Metalhead","U","U","29860","3.51","12415","3.88","80259","90.3%","58.8%","13610","59.3%","22995","63.9%","36605","62.2%","42710","55.6%","6.6pp"
"Mind Transfer Protocol","U","C","153000","7.37","24109","10.13","56975","35.8%","56.2%","9596","53.8%","16133","59.3%","25729","57.2%","31295","55.3%","1.9pp"
"Mondo Gecko","U","M","5399","3.06","1483","3.50","7042","65.3%","52.8%","1200","52.8%","1983","54.8%","3183","54.0%","3861","51.8%","2.2pp"
"Negate","U","C","157769","8.36","17445","12.16","4222","3.7%","46.3%","726","43.7%","1174","48.1%","1900","46.4%","2325","46.2%","0.2pp"
"Ooze Spill","U","U","48709","5.46","11965","6.60","54606","68.0%","57.9%","9578","57.9%","15563","62.2%","25141","60.6%","29514","55.5%","5.0pp"
"Ray Fillet, Man Ray","U","U","37320","4.22","8324","5.32","41334","75.4%","54.9%","7025","53.0%","11746","59.1%","18771","56.8%","22697","53.3%","3.5pp"
"Renet, Temporal Apprentice","U","R","10340","3.77","2190","4.63","8239","54.8%","52.3%","1360","48.9%","2392","53.9%","3752","52.1%","4508","52.4%","-0.3pp"
"Retro-Mutation","U","C","140478","6.42","19723","9.23","57014","44.6%","53.5%","9636","51.2%","16046","57.4%","25682","55.1%","31377","52.1%","3.0pp"
"Return to the Sewers","U","C","140684","6.34","30416","8.22","134409","66.7%","57.3%","22482","56.0%","38555","61.0%","61037","59.2%","73480","55.8%","3.4pp"
"Sewer-veillance Cam","U","C","124351","5.57","28663","6.96","147663","77.3%","57.5%","25813","54.7%","41835","62.3%","67648","59.4%","78272","55.7%","3.6pp"
